GeoType,Geography,Label,Lower CL,Percent,Program,RSE,SubPop Group,Subpop,TimePeriod,Upper CL,Years
State,State,Ever used marijuana,39.3,41.3,Marijuana,2.5,Female,Sex,1-year,43.4,2011
State,State,Ever used marijuana,49.6,51.9,Marijuana,2.3,Male,Sex,1-year,54.3,2011
State,State,Ever used marijuana,45.3,47,Marijuana,1.7,Heterosexual,Sexual Orientation,1-year,48.6,2011
State,State,Ever used marijuana,61.1,70.4,Marijuana,6.8,"Lesbian, gay or bisexual",Sexual Orientation,1-year,79.8,2011
State,State,Ever used marijuana,45.1,46.8,Marijuana,1.9,Non Veteran,Veteran Status,1-year,48.5,2011
State,State,Ever used marijuana,41.1,45,Marijuana,4.4,Veteran,Veteran Status,1-year,48.8,2011
State,State,Ever used marijuana,43.5,46.2,Marijuana,3,Normal or underweight,Weight Status,1-year,48.9,2011
State,State,Ever used marijuana,46.4,48.4,Marijuana,2.1,Overweight or obese,Weight Status,1-year,50.5,2011
State,State,Marijuana use in the past 30 days,10.7,15.2,Marijuana,15,Age 18 to 24,Age,1-year,19.7,2011
State,State,Marijuana use in the past 30 days,11.9,15.8,Marijuana,12.6,Age 25 to 34,Age,1-year,19.7,2011
State,State,Marijuana use in the past 30 days,4.4,6.3,Marijuana,15.3,Age 35 to 44,Age,1-year,8.2,2011
State,State,Marijuana use in the past 30 days,5.4,7.1,Marijuana,12.3,Age 45 to 54,Age,1-year,8.8,2011
State,State,Marijuana use in the past 30 days,4.3,5.5,Marijuana,10.5,Age 55 to 64,Age,1-year,6.6,2011
State,State,Marijuana use in the past 30 days,0.3,0.7,Marijuana,25.1,Age 65 or older,Age,1-year,1,2011
State,State,Marijuana use in the past 30 days,4.8,6.4,Marijuana,12.8,"$35,000 to $74,999",Annual Household Income (V1),1-year,8,2011
State,State,Marijuana use in the past 30 days,3.9,5.6,Marijuana,15.4,"$75,000 or more",Annual Household Income (V1),1-year,7.2,2011
State,State,Marijuana use in the past 30 days,9.1,11.1,Marijuana,9.2,"Less than $35,000",Annual Household Income (V1),1-year,13.1,2011
State,State,Marijuana use in the past 30 days,5.8,7.6,Marijuana,12.2,"$25,000 to <$50,000",Annual Household Income (V2),1-year,9.4,2011
State,State,Marijuana use in the past 30 days,3.5,5.7,Marijuana,19.6,"$50,000 to <$75,000",Annual Household Income (V2),1-year,7.9,2011
State,State,Marijuana use in the past 30 days,3.9,5.6,Marijuana,15.4,"$75,000+",Annual Household Income (V2),1-year,7.2,2011
State,State,Marijuana use in the past 30 days,10,12.6,Marijuana,10.7,"Less than $25,000",Annual Household Income (V2),1-year,15.2,2011
State,State,Marijuana use in the past 30 days,6.7,7.8,Marijuana,7.5,Does not have arthritis,Arthritis Status,1-year,9,2011
State,State,Marijuana use in the past 30 days,5.9,7.8,Marijuana,12.1,Has arthritis,Arthritis Status,1-year,9.6,2011
State,State,Marijuana use in the past 30 days,6.4,10,Marijuana,18.3,Currently has asthma,Asthma Status,1-year,13.6,2011
State,State,Marijuana use in the past 30 days,6.6,7.6,Marijuana,6.8,Does not currently have asthma,Asthma Status,1-year,8.6,2011
State,State,Marijuana use in the past 30 days,18.4,22.2,Marijuana,8.7,Binge drank in past month,Binge Drinking In Past 30 Days,1-year,26,2011
State,State,Marijuana use in the past 30 days,4.1,5,Marijuana,8.6,Did not binge drink in past month,Binge Drinking In Past 30 Days,1-year,5.8,2011
State,State,Marijuana use in the past 30 days,5.1,6.7,Marijuana,11.9,Children in household,Children In Household,1-year,8.3,2011
State,State,Marijuana use in the past 30 days,7.2,8.4,Marijuana,7.5,No children in household,Children In Household,1-year,9.7,2011
State,State,Marijuana use in the past 30 days,18.7,22.5,Marijuana,8.7,Current smoker,Current Cigarette Smoking,1-year,26.4,2011
State,State,Marijuana use in the past 30 days,4.1,4.9,Marijuana,8.5,Never or former smoker,Current Cigarette Smoking,1-year,5.7,2011
State,State,Marijuana use in the past 30 days,9.1,11,Marijuana,8.8,Living with a disability,Disability Status,1-year,12.9,2011
State,State,Marijuana use in the past 30 days,5.3,6.4,Marijuana,8.9,Not living with a disability,Disability Status,1-year,7.5,2011
State,State,Marijuana use in the past 30 days,6.1,7.1,Marijuana,7.3,"Excellent, very good or good health",General Health Status,1-year,8.2,2011
State,State,Marijuana use in the past 30 days,8.3,11.1,Marijuana,12.7,Fair or poor health,General Health Status,1-year,13.8,2011
State,State,Marijuana use in the past 30 days,8.7,11.2,Marijuana,11.6,Does not have a personal doctor,Has A Personal Doctor,1-year,13.7,2011
State,State,Marijuana use in the past 30 days,5.9,6.9,Marijuana,7.5,Has personal doctor,Has A Personal Doctor,1-year,7.9,2011
State,State,Marijuana use in the past 30 days,5.7,6.7,Marijuana,7.2,Has health insurance,Health Care Coverage Status,1-year,7.6,2011
State,State,Marijuana use in the past 30 days,10,13.3,Marijuana,12.7,No health insurance,Health Care Coverage Status,1-year,16.6,2011
State,State,Marijuana use in the past 30 days,3.9,5.1,Marijuana,12.3,College graduate,Level Of Education (Age 25+),1-year,6.3,2011
State,State,Marijuana use in the past 30 days,6.6,8.5,Marijuana,11.7,High graduate or less,Level Of Education (Age 25+),1-year,10.5,2011
State,State,Marijuana use in the past 30 days,5.3,6.8,Marijuana,11,Some college or technical school,Level Of Education (Age 25+),1-year,8.3,2011
State,State,Marijuana use in the past 30 days,4.2,5,Marijuana,8.5,Owns home,Living Arrangement,1-year,5.8,2011
State,State,Marijuana use in the past 30 days,11.5,14.1,Marijuana,9.6,Rents home,Living Arrangement,1-year,16.8,2011
State,State,Marijuana use in the past 30 days,13.6,17.9,Marijuana,12.4,14+ days of poor mental health in the past month,Mental Health Status,1-year,22.3,2011
State,State,Marijuana use in the past 30 days,5.7,6.7,Marijuana,7.3,<14 days of poor mental health in the past month,Mental Health Status,1-year,7.6,2011
State,State,Marijuana use in the past 30 days,6.9,7.8,Marijuana,6.3,OVERALL,Overall,1-year,8.8,2011
State,State,Marijuana use in the past 30 days,9.2,12.7,Marijuana,14,14+ days of poor physical health in the past month,Physical Health Status,1-year,16.2,2011
State,State,Marijuana use in the past 30 days,6.3,7.3,Marijuana,7.1,<14 days of poor physical health in the past month,Physical Health Status,1-year,8.3,2011
State,State,Marijuana use in the past 30 days,,,Marijuana,52.5,American Indian or Alaskan Native,Race,1-year,,2011
State,State,Marijuana use in the past 30 days,,,Marijuana,44.5,Asian,Race,1-year,,2011
State,State,Marijuana use in the past 30 days,,,Marijuana,31.8,Black or African American,Race,1-year,,2011
State,State,Marijuana use in the past 30 days,,,Marijuana,39.1,Hispanic,Race,1-year,,2011
State,State,Marijuana use in the past 30 days,4.9,10.2,Marijuana,26.5,Multiracial,Race,1-year,15.6,2011
State,State,Marijuana use in the past 30 days,,,Marijuana,,Native Hawaiian or other Pacific Islander,Race,1-year,,2011
State,State,Marijuana use in the past 30 days,,,Marijuana,49.2,Other race,Race,1-year,,2011
State,State,Marijuana use in the past 30 days,7.1,8.3,Marijuana,6.9,White,Race,1-year,9.4,2011
State,State,Marijuana use in the past 30 days,8.8,10.7,Marijuana,9.1,Did not have routine checkup with doctor in past 12 months,Saw A Doctor For Routine Checkup In Past Year,1-year,12.6,2011
State,State,Marijuana use in the past 30 days,5.1,6.2,Marijuana,9.1,Had routine checkup with doctor in past 12 months,Saw A Doctor For Routine Checkup In Past Year,1-year,7.3,2011
State,State,Marijuana use in the past 30 days,4.8,6,Marijuana,10.3,Female,Sex,1-year,7.2,2011
State,State,Marijuana use in the past 30 days,8.3,9.8,Marijuana,8,Male,Sex,1-year,11.3,2011
State,State,Marijuana use in the past 30 days,6.3,7.3,Marijuana,6.8,Heterosexual,Sexual Orientation,1-year,8.3,2011
State,State,Marijuana use in the past 30 days,21.5,31.4,Marijuana,16.1,"Lesbian, gay or bisexual",Sexual Orientation,1-year,41.3,2011
State,State,Marijuana use in the past 30 days,7.3,8.4,Marijuana,6.6,Non Veteran,Veteran Status,1-year,9.5,2011
State,State,Marijuana use in the past 30 days,2.7,4.1,Marijuana,17.2,Veteran,Veteran Status,1-year,5.5,2011
State,State,Marijuana use in the past 30 days,7.6,9.5,Marijuana,10,Normal or underweight,Weight Status,1-year,11.4,2011
State,State,Marijuana use in the past 30 days,6.1,7.2,Marijuana,8.2,Overweight or obese,Weight Status,1-year,8.4,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,30,Age 18 to 24,Age,1-year,,2011
State,State,Used marijuana every day in the past 30 days,2.1,4.4,Marijuana,25.9,Age 25 to 34,Age,1-year,6.6,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,30.8,Age 35 to 44,Age,1-year,,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,30.7,Age 45 to 54,Age,1-year,,2011
State,State,Used marijuana every day in the past 30 days,0.8,1.3,Marijuana,20.2,Age 55 to 64,Age,1-year,1.8,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,46.8,Age 65 or older,Age,1-year,,2011
State,State,Used marijuana every day in the past 30 days,0.8,1.7,Marijuana,26.8,"$35,000 to $74,999",Annual Household Income (V1),1-year,2.6,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,35.3,"$75,000 or more",Annual Household Income (V1),1-year,,2011
State,State,Used marijuana every day in the past 30 days,1.9,3,Marijuana,18.9,"Less than $35,000",Annual Household Income (V1),1-year,4.1,2011
State,State,Used marijuana every day in the past 30 days,0.7,1.6,Marijuana,29.1,"$25,000 to <$50,000",Annual Household Income (V2),1-year,2.5,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,37.3,"$50,000 to <$75,000",Annual Household Income (V2),1-year,,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,35.3,"$75,000+",Annual Household Income (V2),1-year,,2011
State,State,Used marijuana every day in the past 30 days,2.3,3.8,Marijuana,20.9,"Less than $25,000",Annual Household Income (V2),1-year,5.4,2011
State,State,Used marijuana every day in the past 30 days,1.3,1.9,Marijuana,16.3,Does not have arthritis,Arthritis Status,1-year,2.5,2011
State,State,Used marijuana every day in the past 30 days,1.2,2.3,Marijuana,23.7,Has arthritis,Arthritis Status,1-year,3.3,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,42.6,Currently has asthma,Asthma Status,1-year,,2011
State,State,Used marijuana every day in the past 30 days,1.4,1.9,Marijuana,14.2,Does not currently have asthma,Asthma Status,1-year,2.4,2011
State,State,Used marijuana every day in the past 30 days,3.5,5.7,Marijuana,19.7,Binge drank in past month,Binge Drinking In Past 30 Days,1-year,8,2011
State,State,Used marijuana every day in the past 30 days,0.8,1.2,Marijuana,18.2,Did not binge drink in past month,Binge Drinking In Past 30 Days,1-year,1.6,2011
State,State,Used marijuana every day in the past 30 days,0.9,1.8,Marijuana,24,Children in household,Children In Household,1-year,2.6,2011
State,State,Used marijuana every day in the past 30 days,1.4,2.1,Marijuana,16.1,No children in household,Children In Household,1-year,2.7,2011
State,State,Used marijuana every day in the past 30 days,4.4,6.8,Marijuana,17.9,Current smoker,Current Cigarette Smoking,1-year,9.1,2011
State,State,Used marijuana every day in the past 30 days,0.6,1,Marijuana,19.4,Never or former smoker,Current Cigarette Smoking,1-year,1.4,2011
State,State,Used marijuana every day in the past 30 days,1.8,2.8,Marijuana,19.1,Living with a disability,Disability Status,1-year,3.9,2011
State,State,Used marijuana every day in the past 30 days,1,1.6,Marijuana,18.9,Not living with a disability,Disability Status,1-year,2.1,2011
State,State,Used marijuana every day in the past 30 days,1.1,1.6,Marijuana,16.4,"Excellent, very good or good health",General Health Status,1-year,2.1,2011
State,State,Used marijuana every day in the past 30 days,2,3.8,Marijuana,23.5,Fair or poor health,General Health Status,1-year,5.5,2011
State,State,Used marijuana every day in the past 30 days,1.7,3.2,Marijuana,23.1,Does not have a personal doctor,Has A Personal Doctor,1-year,4.7,2011
State,State,Used marijuana every day in the past 30 days,1.1,1.6,Marijuana,16.3,Has personal doctor,Has A Personal Doctor,1-year,2.1,2011
State,State,Used marijuana every day in the past 30 days,1.3,1.8,Marijuana,15.4,Has health insurance,Health Care Coverage Status,1-year,2.3,2011
State,State,Used marijuana every day in the past 30 days,1.3,2.8,Marijuana,27,No health insurance,Health Care Coverage Status,1-year,4.3,2011
State,State,Used marijuana every day in the past 30 days,0.3,0.7,Marijuana,30,College graduate,Level Of Education (Age 25+),1-year,1.1,2011
State,State,Used marijuana every day in the past 30 days,1.4,2.5,Marijuana,22.3,High graduate or less,Level Of Education (Age 25+),1-year,3.7,2011
State,State,Used marijuana every day in the past 30 days,0.9,1.7,Marijuana,23.3,Some college or technical school,Level Of Education (Age 25+),1-year,2.4,2011
State,State,Used marijuana every day in the past 30 days,0.6,1.1,Marijuana,19.6,Owns home,Living Arrangement,1-year,1.5,2011
State,State,Used marijuana every day in the past 30 days,2.6,4.1,Marijuana,19.2,Rents home,Living Arrangement,1-year,5.7,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,,Did not use marijuana in past month,Marijuana Use In The Past 30 Days,1-year,,2011
State,State,Used marijuana every day in the past 30 days,19.3,25,Marijuana,11.7,Used marijuana in past month,Marijuana Use In The Past 30 Days,1-year,30.7,2011
State,State,Used marijuana every day in the past 30 days,4.5,7.8,Marijuana,21.6,14+ days of poor mental health in the past month,Mental Health Status,1-year,11.1,2011
State,State,Used marijuana every day in the past 30 days,0.8,1.3,Marijuana,16.7,<14 days of poor mental health in the past month,Mental Health Status,1-year,1.7,2011
State,State,Used marijuana every day in the past 30 days,1.4,2,Marijuana,13.4,OVERALL,Overall,1-year,2.5,2011
State,State,Used marijuana every day in the past 30 days,1.4,3.3,Marijuana,29,14+ days of poor physical health in the past month,Physical Health Status,1-year,5.1,2011
State,State,Used marijuana every day in the past 30 days,1.2,1.7,Marijuana,15.4,<14 days of poor physical health in the past month,Physical Health Status,1-year,2.3,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,100.6,American Indian or Alaskan Native,Race,1-year,,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,99.7,Asian,Race,1-year,,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,59,Black or African American,Race,1-year,,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,84.6,Hispanic,Race,1-year,,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,44.8,Multiracial,Race,1-year,,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,,Native Hawaiian or other Pacific Islander,Race,1-year,,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,52,Other race,Race,1-year,,2011
State,State,Used marijuana every day in the past 30 days,1.3,1.9,Marijuana,15,White,Race,1-year,2.4,2011
State,State,Used marijuana every day in the past 30 days,1.1,2,Marijuana,22.6,Did not have routine checkup with doctor in past 12 months,Saw A Doctor For Routine Checkup In Past Year,1-year,2.9,2011
State,State,Used marijuana every day in the past 30 days,1.1,1.8,Marijuana,18.2,Had routine checkup with doctor in past 12 months,Saw A Doctor For Routine Checkup In Past Year,1-year,2.4,2011
State,State,Used marijuana every day in the past 30 days,1.1,1.8,Marijuana,19.9,Female,Sex,1-year,2.5,2011
State,State,Used marijuana every day in the past 30 days,1.4,2.1,Marijuana,18.1,Male,Sex,1-year,2.9,2011
State,State,Used marijuana every day in the past 30 days,1.2,1.7,Marijuana,14.5,Heterosexual,Sexual Orientation,1-year,2.1,2011
State,State,Used marijuana every day in the past 30 days,,,Marijuana,31.9,"Lesbian, gay or bisexual",Sexual Orientation,1-year,,2011
State,State,Used marijuana every day in the past 30 days,1.5,2.1,Marijuana,14.4,Non Veteran,Veteran Status,1-year,2.6,2011
State,State,Used marijuana every day in the past 30 days,0.6,1.3,Marijuana,26.6,Veteran,Veteran Status,1-year,2,2011
State,State,Used marijuana every day in the past 30 days,1.8,2.9,Marijuana,19.1,Normal or underweight,Weight Status,1-year,4,2011
State,State,Used marijuana every day in the past 30 days,1,1.6,Marijuana,18.5,Overweight or obese,Weight Status,1-year,2.1,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2.3,4.9,Marijuana,26.7,Age 18 to 24,Age,1-year,7.5,2011
State,State,Used marijuana on 20 or more days in the past 30 days,3.3,5.8,Marijuana,22,Age 25 to 34,Age,1-year,8.2,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.1,2.1,Marijuana,24.8,Age 35 to 44,Age,1-year,3.2,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.4,2.4,Marijuana,21.1,Age 45 to 54,Age,1-year,3.4,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.1,1.7,Marijuana,17.3,Age 55 to 64,Age,1-year,2.2,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,46.8,Age 65 or older,Age,1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.1,2,Marijuana,23.8,"$35,000 to $74,999",Annual Household Income (V1),1-year,2.9,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,30,"$75,000 or more",Annual Household Income (V1),1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2.8,4,Marijuana,15.9,"Less than $35,000",Annual Household Income (V1),1-year,5.3,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1,2,Marijuana,25,"$25,000 to <$50,000",Annual Household Income (V2),1-year,2.9,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,34.5,"$50,000 to <$75,000",Annual Household Income (V2),1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,30,"$75,000+",Annual Household Income (V2),1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,3.5,5.2,Marijuana,17.3,"Less than $25,000",Annual Household Income (V2),1-year,7,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.9,2.5,Marijuana,13.4,Does not have arthritis,Arthritis Status,1-year,3.2,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.8,2.9,Marijuana,19.9,Has arthritis,Arthritis Status,1-year,4.1,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,33.7,Currently has asthma,Asthma Status,1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2,2.5,Marijuana,11.7,Does not currently have asthma,Asthma Status,1-year,3.1,2011
State,State,Used marijuana on 20 or more days in the past 30 days,5.3,7.8,Marijuana,16.2,Binge drank in past month,Binge Drinking In Past 30 Days,1-year,10.2,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.1,1.6,Marijuana,14.7,Did not binge drink in past month,Binge Drinking In Past 30 Days,1-year,2.1,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.4,2.4,Marijuana,20.3,Children in household,Children In Household,1-year,3.3,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2.1,2.8,Marijuana,13,No children in household,Children In Household,1-year,3.5,2011
State,State,Used marijuana on 20 or more days in the past 30 days,6.5,9.1,Marijuana,14.6,Current smoker,Current Cigarette Smoking,1-year,11.7,2011
State,State,Used marijuana on 20 or more days in the past 30 days,0.9,1.4,Marijuana,15.8,Never or former smoker,Current Cigarette Smoking,1-year,1.8,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2.9,4.2,Marijuana,15.2,Living with a disability,Disability Status,1-year,5.4,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.3,1.9,Marijuana,16,Not living with a disability,Disability Status,1-year,2.6,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.6,2.1,Marijuana,13.3,"Excellent, very good or good health",General Health Status,1-year,2.7,2011
State,State,Used marijuana on 20 or more days in the past 30 days,3.1,5.1,Marijuana,19.6,Fair or poor health,General Health Status,1-year,7,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2.8,4.5,Marijuana,18.7,Does not have a personal doctor,Has A Personal Doctor,1-year,6.1,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.5,2.1,Marijuana,13.4,Has personal doctor,Has A Personal Doctor,1-year,2.7,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.8,2.4,Marijuana,12.8,Has health insurance,Health Care Coverage Status,1-year,3,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2.4,4.1,Marijuana,21.1,No health insurance,Health Care Coverage Status,1-year,5.8,2011
State,State,Used marijuana on 20 or more days in the past 30 days,0.6,1.2,Marijuana,23.8,College graduate,Level Of Education (Age 25+),1-year,1.8,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2.1,3.4,Marijuana,18.7,High graduate or less,Level Of Education (Age 25+),1-year,4.6,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.5,2.3,Marijuana,18.7,Some college or technical school,Level Of Education (Age 25+),1-year,3.2,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1,1.4,Marijuana,15.8,Owns home,Living Arrangement,1-year,1.9,2011
State,State,Used marijuana on 20 or more days in the past 30 days,3.7,5.4,Marijuana,16.2,Rents home,Living Arrangement,1-year,7.1,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,,Did not use marijuana in past month,Marijuana Use In The Past 30 Days,1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,27.6,33.7,Marijuana,9.2,Used marijuana in past month,Marijuana Use In The Past 30 Days,1-year,39.9,2011
State,State,Used marijuana on 20 or more days in the past 30 days,5.6,8.9,Marijuana,19.2,14+ days of poor mental health in the past month,Mental Health Status,1-year,12.3,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.4,1.9,Marijuana,13.2,<14 days of poor mental health in the past month,Mental Health Status,1-year,2.4,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2.1,2.6,Marijuana,11,OVERALL,Overall,1-year,3.2,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2.9,5.2,Marijuana,22.8,14+ days of poor physical health in the past month,Physical Health Status,1-year,7.6,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.7,2.3,Marijuana,12.7,<14 days of poor physical health in the past month,Physical Health Status,1-year,2.8,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,100.6,American Indian or Alaskan Native,Race,1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,99.7,Asian,Race,1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,51.9,Black or African American,Race,1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,84.6,Hispanic,Race,1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,38.1,Multiracial,Race,1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,,Native Hawaiian or other Pacific Islander,Race,1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,,,Marijuana,52,Other race,Race,1-year,,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2,2.7,Marijuana,12,White,Race,1-year,3.3,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.9,3,Marijuana,17.8,Did not have routine checkup with doctor in past 12 months,Saw A Doctor For Routine Checkup In Past Year,1-year,4,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.6,2.3,Marijuana,15,Had routine checkup with doctor in past 12 months,Saw A Doctor For Routine Checkup In Past Year,1-year,3,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.7,2.5,Marijuana,16.3,Female,Sex,1-year,3.3,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2,2.8,Marijuana,14.8,Male,Sex,1-year,3.6,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.8,2.3,Marijuana,11.8,Heterosexual,Sexual Orientation,1-year,2.9,2011
State,State,Used marijuana on 20 or more days in the past 30 days,6.5,14.6,Marijuana,28.2,"Lesbian, gay or bisexual",Sexual Orientation,1-year,22.6,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2.2,2.8,Marijuana,11.6,Non Veteran,Veteran Status,1-year,3.5,2011
State,State,Used marijuana on 20 or more days in the past 30 days,0.7,1.4,Marijuana,25.8,Veteran,Veteran Status,1-year,2,2011
State,State,Used marijuana on 20 or more days in the past 30 days,2.5,3.7,Marijuana,16,Normal or underweight,Weight Status,1-year,4.8,2011
State,State,Used marijuana on 20 or more days in the past 30 days,1.6,2.2,Marijuana,15.2,Overweight or obese,Weight Status,1-year,2.9,2011
State,State,Ever used marijuana,36.4,40.8,Marijuana,5.4,Age 18 to 24,Age,1-year,45.1,2012
State,State,Ever used marijuana,50,53.5,Marijuana,3.3,Age 25 to 34,Age,1-year,56.9,2012
State,State,Ever used marijuana,43.5,46.5,Marijuana,3.2,Age 35 to 44,Age,1-year,49.4,2012
State,State,Ever used marijuana,58.2,60.7,Marijuana,2.1,Age 45 to 54,Age,1-year,63.2,2012
State,State,Ever used marijuana,55.6,57.8,Marijuana,1.9,Age 55 to 64,Age,1-year,60,2012
State,State,Ever used marijuana,18.9,20.3,Marijuana,3.5,Age 65 or older,Age,1-year,21.7,2012
State,State,Ever used marijuana,45.5,47.6,Marijuana,2.2,"$35,000 to $74,999",Annual Household Income (V1),1-year,49.7,2012
State,State,Ever used marijuana,50,52.1,Marijuana,2,"$75,000 or more",Annual Household Income (V1),1-year,54.1,2012
State,State,Ever used marijuana,44,46.2,Marijuana,2.5,"Less than $35,000",Annual Household Income (V1),1-year,48.5,2012
State,State,Ever used marijuana,40,42.5,Marijuana,2.9,"$25,000 to <$50,000",Annual Household Income (V2),1-year,44.9,2012
State,State,Ever used marijuana,47.9,50.7,Marijuana,2.8,"$50,000 to <$75,000",Annual Household Income (V2),1-year,53.5,2012
State,State,Ever used marijuana,50,52.1,Marijuana,2,"$75,000+",Annual Household Income (V2),1-year,54.1,2012
State,State,Ever used marijuana,46,48.7,Marijuana,2.9,"Less than $25,000",Annual Household Income (V2),1-year,51.5,2012
State,State,Ever used marijuana,45.7,47.1,Marijuana,1.5,Does not have arthritis,Arthritis Status,1-year,48.5,2012
State,State,Ever used marijuana,44.9,46.8,Marijuana,2.1,Has arthritis,Arthritis Status,1-year,48.8,2012
State,State,Ever used marijuana,47.2,50.8,Marijuana,3.6,Currently has asthma,Asthma Status,1-year,54.4,2012
State,State,Ever used marijuana,45.2,46.4,Marijuana,1.3,Does not currently have asthma,Asthma Status,1-year,47.7,2012
State,State,Ever used marijuana,75.1,77.7,Marijuana,1.7,Binge drank in past month,Binge Drinking In Past 30 Days,1-year,80.3,2012
State,State,Ever used marijuana,39.7,40.9,Marijuana,1.5,Did not binge drink in past month,Binge Drinking In Past 30 Days,1-year,42.1,2012
State,State,Ever used marijuana,44.8,46.9,Marijuana,2.3,Children in household,Children In Household,1-year,49,2012
State,State,Ever used marijuana,45.7,47,Marijuana,1.5,No children in household,Children In Household,1-year,48.4,2012
State,State,Ever used marijuana,73,75.7,Marijuana,1.8,Current smoker,Current Cigarette Smoking,1-year,78.3,2012
State,State,Ever used marijuana,39.9,41.1,Marijuana,1.5,Never or former smoker,Current Cigarette Smoking,1-year,42.3,2012
State,State,Ever used marijuana,49.5,51.6,Marijuana,2.1,Living with a disability,Disability Status,1-year,53.7,2012
State,State,Ever used marijuana,44,45.4,Marijuana,1.5,Not living with a disability,Disability Status,1-year,46.8,2012
State,State,Ever used marijuana,45.4,46.6,Marijuana,1.4,"Excellent, very good or good health",General Health Status,1-year,47.9,2012
State,State,Ever used marijuana,45.4,48.3,Marijuana,3.1,Fair or poor health,General Health Status,1-year,51.2,2012
State,State,Ever used marijuana,48.4,51.3,Marijuana,2.8,Does not have a personal doctor,Has A Personal Doctor,1-year,54.1,2012
State,State,Ever used marijuana,44.6,45.8,Marijuana,1.4,Has personal doctor,Has A Personal Doctor,1-year,47.1,2012
State,State,Ever used marijuana,45,46.2,Marijuana,1.3,Has health insurance,Health Care Coverage Status,1-year,47.5,2012
State,State,Ever used marijuana,47.7,51,Marijuana,3.3,No health insurance,Health Care Coverage Status,1-year,54.3,2012
